Nr;Altersgruppe;Geschlecht;Verheiratet;Kinderzahl;Abschluss;Beruf;Familieneinkommen;Buch
28;25-35;m;nein;0;Hochschule;Arbeitslos;<1000;Buch_C
31;36-49;m;ja;2;Hochschule;Selbstaendig;2000-2999;Buch_A
34;36-49;w;nein;0;Hochschule;Selbstaendig;5000 und mehr;Buch_A
36;50-65;m;nein;0;Hochschule;Rentner;2000-2999;Buch_A
40;25-35;w;nein;0;Hochschule;Selbstaendig;2000-2999;Buch_A
43;36-49;m;ja;1;Hochschule;Fuehrungskraft;5000 und mehr;Buch_A
45;25-35;m;nein;0;Hochschule;Selbstaendig;3000-3999;Buch_A
46;25-35;m;nein;1;Hochschule;Lehrer;2000-2999;Buch_A
48;25-35;w;ja;1;Hochschule;Lehrer;2000-2999;Buch_A
50;25-35;w;ja;0;Hochschule;Hausfrau;3000-3999;Buch_A
62;>65;w;ja;1;Hochschule;Rentner;2000-2999;Buch_A
69;36-49;w;ja;0;Hochschule;Angestellter;2000-2999;Buch_A
82;25-35;m;nein;1;Hochschule;Angestellter;2000-2999;Buch_A
83;36-49;m;nein;1;Hochschule;Fuehrungskraft;5000 und mehr;Buch_A
98;19-24;m;nein;0;Hochschule;Angestellter;3000-3999;Buch_A
0;19-24;m;nein;0;keiner;Angestellter;3000-3999;Buch_B
5;<18;w;nein;0;keiner;Hausfrau;2000-2999;Buch_C
8;<18;w;nein;0;keiner;Angestellter;2000-2999;Buch_C
9;19-24;w;nein;0;keiner;Selbstaendig;1000-1999;Buch_C
12;<18;w;ja;1;keiner;Arbeitslos;<1000;Buch_C
18;50-65;m;nein;0;keiner;Rentner;1000-1999;Buch_C
23;36-49;w;ja;1;keiner;Angestellter;2000-2999;Buch_C
27;36-49;w;ja;2;keiner;Arbeiter;1000-1999;Buch_C
30;<18;w;nein;0;keiner;Hausfrau;2000-2999;Buch_C
33;36-49;m;nein;0;keiner;Angestellter;1000-1999;Buch_C
35;19-24;w;nein;0;keiner;Selbstaendig;3000-3999;Buch_C
37;<18;m;nein;0;keiner;Angestellter;2000-2999;Buch_B
38;19-24;w;nein;0;keiner;Hausfrau;4000-4999;Buch_C
39;25-35;m;nein;0;keiner;Arbeiter;2000-2999;Buch_C
41;25-35;w;nein;1;keiner;Hausfrau;4000-4999;Buch_C
51;19-24;w;nein;0;keiner;Angestellter;3000-3999;Buch_C
52;<18;m;ja;0;keiner;Angestellter;2000-2999;Buch_B
53;36-49;w;ja;3;keiner;Angestellter;2000-2999;Buch_C
55;19-24;m;nein;0;keiner;Arbeiter;1000-1999;Buch_B
56;<18;m;nein;0;keiner;Angestellter;3000-3999;Buch_B
58;19-24;w;nein;0;keiner;Hausfrau;2000-2999;Buch_C
63;36-49;w;nein;0;keiner;Hausfrau;<1000;Buch_C
66;25-35;m;nein;1;keiner;Arbeitslos;3000-3999;Buch_C
73;19-24;m;nein;0;keiner;Arbeitslos;1000-1999;Buch_B
74;<18;m;nein;0;keiner;Angestellter;2000-2999;Buch_B
75;36-49;m;ja;3;keiner;Arbeiter;2000-2999;Buch_C
77;19-24;m;nein;0;keiner;Arbeiter;3000-3999;Buch_B
80;19-24;m;nein;0;keiner;Angestellter;2000-2999;Buch_B
81;25-35;m;nein;0;keiner;Arbeiter;1000-1999;Buch_C
84;19-24;w;nein;0;keiner;Angestellter;1000-1999;Buch_C
85;19-24;m;nein;0;keiner;Arbeiter;2000-2999;Buch_B
86;36-49;m;nein;0;keiner;Arbeitslos;1000-1999;Buch_C
87;<18;w;nein;0;keiner;Angestellter;2000-2999;Buch_C
88;36-49;m;ja;3;keiner;Selbstaendig;1000-1999;Buch_C
89;36-49;m;nein;0;keiner;Angestellter;3000-3999;Buch_C
91;19-24;w;nein;0;keiner;Angestellter;2000-2999;Buch_C
92;<18;w;nein;0;keiner;Arbeiter;1000-1999;Buch_C
94;19-24;m;nein;0;keiner;Arbeiter;2000-2999;Buch_B
97;50-65;m;ja;1;keiner;Arbeiter;2000-2999;Buch_C
10;50-65;m;nein;0;Promotion;Fuehrungskraft;5000 und mehr;Buch_A
29;50-65;w;nein;0;Promotion;Hausfrau;3000-3999;Buch_A
49;25-35;m;ja;3;Promotion;Fuehrungskraft;5000 und mehr;Buch_A
1;25-35;m;nein;1;Realschule;Arbeitslos;1000-1999;Buch_C
11;<18;m;nein;0;Realschule;Angestellter;3000-3999;Buch_B
15;36-49;w;ja;0;Realschule;Angestellter;1000-1999;Buch_C
32;<18;m;nein;0;Realschule;Angestellter;1000-1999;Buch_B
42;25-35;w;nein;0;Realschule;Angestellter;2000-2999;Buch_C
54;<18;w;ja;0;Realschule;Angestellter;2000-2999;Buch_C
65;19-24;m;nein;0;Realschule;Arbeitslos;2000-2999;Buch_B
67;50-65;m;ja;2;Realschule;Arbeiter;2000-2999;Buch_C
70;50-65;w;nein;0;Realschule;Angestellter;1000-1999;Buch_C
71;50-65;m;nein;0;Realschule;Arbeitslos;1000-1999;Buch_C
72;36-49;m;nein;0;Realschule;Angestellter;2000-2999;Buch_C
76;19-24;m;nein;0;Realschule;Arbeiter;2000-2999;Buch_B
78;36-49;m;nein;0;Realschule;Arbeitslos;1000-1999;Buch_C
93;<18;m;nein;0;Realschule;Arbeiter;2000-2999;Buch_B
95;25-35;w;nein;0;Realschule;Angestellter;2000-2999;Buch_C
96;19-24;m;nein;1;Realschule;Arbeitslos;1000-1999;Buch_B
99;>65;m;nein;0;Realschule;Rentner;1000-1999;Buch_C
